693488.563431, 4048467.556464
693488.748508, 4048466.910387
693488.912092, 4048466.478442
693489.144823, 4048465.957727
693489.365189, 4048465.431393
693489.574870, 4048464.917150
693489.666980, 4048464.346689
693489.868347, 4048463.706998
693489.859665, 4048463.030690
693490.053375, 4048462.448578
693490.035222, 4048461.855227
693490.210453, 4048461.299608
693490.204056, 4048460.612566
693490.344079, 4048460.027874
693490.332928, 4048459.320372
693490.454753, 4048458.691963
693490.435259, 4048457.986470
693490.546506, 4048457.346632
693490.540896, 4048456.635536
693490.635229, 4048456.002522
693490.612194, 4048455.320674
693490.705324, 4048454.653987
693490.655512, 4048454.076342
693490.694147, 4048453.337149
693490.636135, 4048452.629174
693490.667641, 4048452.006341
693490.586069, 4048451.385200
693490.564069, 4048450.679658
693490.577408, 4048449.995524
693490.561543, 4048449.138817
693490.569176, 4048448.349253
693490.539474, 4048447.484422
693490.470663, 4048446.533031
693490.377393, 4048445.657877
693490.282939, 4048444.668056
693490.260244, 4048443.832821
693490.308127, 4048442.876308
693490.229059, 4048441.892778
693490.128226, 4048440.865637
693490.097950, 4048439.840246
693490.047534, 4048438.842846
693490.038387, 4048437.840250
693490.017471, 4048436.865945
693490.050114, 4048435.906723
693490.116561, 4048435.072471
693490.187293, 4048434.060784
693490.375097, 4048433.223993
693490.587001, 4048432.178875
693490.916128, 4048431.334336
693491.124246, 4048430.636952
693491.483919, 4048429.939962
693491.646297, 4048428.922793
693491.726066, 4048427.928656
693491.908172, 4048427.034439
693492.065464, 4048426.227682
693492.203564, 4048425.264221
693492.236541, 4048424.290127
693492.347009, 4048423.349982
693492.379745, 4048422.338813
693492.459384, 4048421.467659
693492.458925, 4048420.500406
693492.499738, 4048419.586045
693492.428930, 4048418.574426
693492.411654, 4048417.598364
693492.290265, 4048416.592607
693492.264693, 4048415.620449
693492.223879, 4048414.541715
693492.209433, 4048413.589813
693492.196221, 4048412.734735
693492.144395, 4048411.715370
693492.067508, 4048410.776838
693492.019806, 4048409.750219
693491.954308, 4048408.823379
693491.984179, 4048407.813159
693492.063099, 4048406.935192
693492.092411, 4048405.898224
693492.132659, 4048404.973319
693492.165506, 4048404.120296
693492.342588, 4048403.083988
693492.425594, 4048402.182161
693492.583343, 4048401.269939
693492.679600, 4048400.375599
693492.822159, 4048399.545242
693492.910915, 4048398.523610
693492.948011, 4048397.586507
693493.061468, 4048396.662531
693493.214348, 4048395.770316
693493.325078, 4048394.854740
693493.433303, 4048393.999063
693493.511334, 4048392.997600
693493.564736, 4048392.036348
693493.631180, 4048391.090920
693493.695246, 4048390.160640
693493.749344, 4048389.223496
693493.794626, 4048388.247013
693493.847717, 4048387.380996
693493.993014, 4048386.453113
693494.167821, 4048385.658212
693494.227632, 4048384.831936
693494.186150, 4048384.057747
693493.892070, 4048383.514278
693493.977332, 4048382.569995
693493.903725, 4048381.813440
693493.965451, 4048381.110523
693494.220248, 4048380.405771
693494.427522, 4048379.684210
693494.812773, 4048379.076225
693495.181469, 4048378.473924
693495.709311, 4048378.043089
693496.081794, 4048377.448172
693496.609955, 4048376.967563
693497.173887, 4048376.301330
693497.820282, 4048375.762179
693498.447306, 4048375.244969
693499.215117, 4048374.910142
693499.542981, 4048374.731435
693500.444429, 4048374.540309
693500.855739, 4048374.422194
693501.729542, 4048374.269746
693502.270151, 4048374.100224
693502.895667, 4048373.855580
693503.617422, 4048373.726188
693504.291455, 4048373.512807
693504.930275, 4048373.523906
693505.609417, 4048373.582007
693506.188334, 4048373.726848
693506.772734, 4048373.874307
693507.420299, 4048374.045107
693508.109356, 4048374.209923
693508.672890, 4048374.530886
693509.305675, 4048374.795179
693509.760195, 4048375.111964
693510.276919, 4048375.362322
693510.837596, 4048375.840178
693511.318729, 4048376.153460
693511.719263, 4048376.596112
693512.181181, 4048377.023060
693512.493245, 4048377.483338
693512.841309, 4048377.981948
693513.198304, 4048378.583147
693513.601690, 4048379.137266
693513.836875, 4048379.757957
693514.175533, 4048380.322514
693514.604037, 4048380.818577
693515.090227, 4048381.384209
693515.478930, 4048382.020798
693515.791940, 4048382.721818
693516.042033, 4048383.539439
693516.212352, 4048384.337854
693515.743951, 4048385.998004
693514.637690, 4048388.504177
693514.409945, 4048389.602763
693514.111024, 4048390.574725
693513.812161, 4048391.563986
693513.545995, 4048392.505058
693513.016642, 4048393.439316
693512.414908, 4048394.391004
693512.293108, 4048395.329300
693513.366201, 4048396.535019
693512.948623, 4048397.477353
693512.481731, 4048398.298850
693512.683462, 4048399.603627
693513.634565, 4048401.402197
693513.545613, 4048402.489001
693513.659839, 4048403.673928
693513.657228, 4048404.774520
693513.873739, 4048406.033625
693513.857165, 4048407.332954
693514.009425, 4048408.616218
693513.940826, 4048409.693870
693513.902835, 4048410.619464
693513.821176, 4048411.814771
693513.805476, 4048412.992485
693513.693121, 4048414.149527
693513.582452, 4048415.112420
693513.475443, 4048416.273869
693513.413433, 4048417.380573
693513.307307, 4048418.480952
693513.264367, 4048419.519484
693513.212993, 4048420.632066
693513.243110, 4048421.772597
693513.174363, 4048422.799982
693513.113235, 4048423.864236
693513.081919, 4048425.000905
693513.120364, 4048426.209995
693513.092168, 4048427.385058
693513.117507, 4048428.679239
693513.091021, 4048429.823129
693513.077232, 4048431.044943
693512.967507, 4048432.283297
693512.846105, 4048433.452550
693512.722867, 4048434.506935
693512.517288, 4048435.496267
693512.432876, 4048436.647139
693512.346671, 4048437.759562
