693515.996462, 4048522.492790
693516.006406, 4048523.429113
693515.998595, 4048524.305871
693516.004420, 4048525.129723
693515.976185, 4048525.985609
693515.925911, 4048526.818796
693515.881812, 4048527.723852
693515.821570, 4048528.631049
693515.790531, 4048529.581453
693515.775774, 4048530.547376
693515.750719, 4048531.522341
693515.745652, 4048532.526839
693515.721444, 4048533.511227
693515.704292, 4048534.514938
693515.675754, 4048535.495559
693515.646591, 4048536.477797
693515.621137, 4048537.460455
693515.585881, 4048538.436678
693515.567278, 4048539.414605
693515.547810, 4048540.386678
693515.533488, 4048541.350262
693515.521385, 4048542.298612
693515.479564, 4048543.275669
693515.445980, 4048544.237575
693515.433012, 4048545.219183
693515.437238, 4048546.190016
693515.435038, 4048547.152928
693515.437241, 4048548.121695
693515.422601, 4048549.087873
693515.404731, 4048550.043636
693515.381970, 4048551.006394
693515.362093, 4048551.977627
693515.320359, 4048552.936822
693515.267572, 4048553.904006
693515.187090, 4048554.855934
693515.110446, 4048555.813837
693515.008267, 4048556.772449
693514.883217, 4048557.752543
693514.760856, 4048558.722266
693514.607249, 4048559.707227
693514.453431, 4048560.674908
693514.319066, 4048561.665482
693514.192586, 4048562.642771
693514.077090, 4048563.625624
693513.970566, 4048564.601413
693513.900840, 4048565.578316
693513.852329, 4048566.539719
693513.826141, 4048567.495570
693513.810607, 4048568.483423
693513.819977, 4048569.448372
693513.862554, 4048570.433068
693513.939959, 4048571.384806
693513.995677, 4048572.362527
693514.023939, 4048573.305801
693514.040683, 4048574.274813
693514.046300, 4048575.234598
693514.047331, 4048576.206188
693514.041264, 4048577.179702
693514.022409, 4048578.154204
693513.995612, 4048579.137580
693513.966226, 4048580.110368
693513.926789, 4048581.082441
693513.877484, 4048582.051903
693513.814306, 4048583.017229
693513.733325, 4048583.982886
693513.642574, 4048584.960359
693513.517762, 4048585.945502
693513.371449, 4048586.904537
693513.239752, 4048587.865360
693513.066194, 4048588.826253
693512.884464, 4048589.787915
693512.712896, 4048590.741850
693512.546843, 4048591.716570
693512.429703, 4048592.700168
693512.346883, 4048593.676408
693512.289894, 4048594.635669
693512.261332, 4048595.604257
693512.282146, 4048596.539638
693512.323360, 4048597.483612
693512.379063, 4048598.434536
693512.452625, 4048599.421794
693512.577935, 4048600.393289
693512.699526, 4048601.375144
693512.786706, 4048602.354100
693512.853124, 4048603.336187
693512.873985, 4048604.311469
693512.886255, 4048605.281088
693512.886554, 4048606.263866
693512.878956, 4048607.234755
693512.856144, 4048608.210865
693512.825481, 4048609.187361
693512.778801, 4048610.164901
693512.718694, 4048611.146972
693512.632420, 4048612.128687
693512.529649, 4048613.107874
693512.400528, 4048614.077970
693512.292775, 4048615.059184
693512.207296, 4048616.038115
693512.138009, 4048617.025797
693512.065592, 4048618.008119
693512.005223, 4048618.990016
693511.952032, 4048619.973802
693511.903034, 4048620.960372
693511.856002, 4048621.945695
693511.822409, 4048622.922987
693511.796393, 4048623.898531
693511.775538, 4048624.782741
693511.749722, 4048625.379635
693511.736054, 4048625.786563
693511.724768, 4048626.069496
693511.719696, 4048626.177106
693511.722823, 4048626.171830
693511.721791, 4048626.173108
693511.725662, 4048626.171056
693511.727978, 4048626.172591
